Name,Latitude,Longitude,OBJECTID,KGISCode,KGISWardID,DepartmentCode,KGISVillageID,KGISPOL_OPSTID,POL_OPSTName
,12.474799999884,75.5322929999973,140,29576055666178090000HMPOLPUOFFPOP0001,,140,27220,140,"Police Outpost, Kodlipet"
,12.5132190001061,75.8090270002041,141,29576055676179580000HMPOLPUOFFPOP0001,,141,27455,141,"Police Outpost, Madapura"
,12.2278790000745,76.0052569997291,142,29576055686180480000HMPOLPUOFFPOP0001,,142,27511,142,"Police Outpost, Thithimathi "
,12.140438999803,76.0564729996175,143,29576055686180870000HMPOLPUOFFPOP0001,,143,27495,143,"Police Outpost, Balele "
,12.0857619998449,75.9544099997296,144,29576055686180630000HMPOLPUOFFPOP0001,,144,27524,144,"Police Outpost, Hudikeri"
,12.0179610003427,75.876269000385,145,29576055686180590000HMPOLPUOFFPOP0001,,145,27518,145,"Police Outpost, Birunani "
,12.1216805558721,76.478491666882,146,29577055736189560000HMPOLPUOFFPOP0001,,146,27714,146,"Police Outpost, Hampapura "
,12.5034472222166,76.2938944439755,147,29577055716186180000HMPOLPUOFFPOP0001,,147,28170,147,"Police Outpost, Chuchanakatte "
,12.5887194438303,76.3496361110651,148,29577055716185710000HMPOLPUOFFPOP0001,,148,28220,148,"Police Outpost, Bherya "
,12.1934500002661,76.6659166667325,149,29577055726188320000HMPOLPUOFFPOP0001,,149,28416,149,"Police Outpost, Kadakola "
,12.9118799995949,77.5876499997462,15,29572055428031620000HMPOLPUOFFPOP0012,,15,15707,15,"Police Outpost, Jayanagar Traffic, J.P.Nagar"
,12.2775694442912,76.8830277783822,150,29577055756193510000HMPOLPUOFFPOP0001,,150,29026,150,"Police Outpost, Somanatapura"
,12.0350000001662,77.001666667385,151,29578055786198050000HMPOLPUOFFPOP0001,,151,25476,151,"Police Outpost, Farangipete"
,12.8461999998133,75.0713000003143,152,29575055626175720000HMPOLPUOFFPOP0001,,152,25995,152,"Police Outpost, Kalladka"
,12.838049000363,75.4050649996035,153,29575055646177000000HMPOLPUOFFPOP0001,,153,26253,153,"Police Outpost, Nelyady "
,12.5027549999338,75.5337529998226,154,29575055656177730000HMPOLPUOFFPOP0001,,154,31477,154,"Police Outpost, Kallugundi "
,14.243299699926,74.656338799666,155,29563054876038100000HMPOLPUOFFPOP0001,,155,8990,155,"Police Outpost, Gersoppa "
,14.4828099995572,74.4922882996882,156,29563054856034680000HMPOLPUOFFPOP0001,,156,9208,156,"Police Outpost, Katgal, Kumta"
,15.1593799995519,74.7570209998399,157,29563054806027980000HMPOLPUOFFPOP0001,,157,8834,157,"Police Outpost, Baghvati "
,14.708112999847,74.2668309997565,158,29563054846033280000HMPOLPUOFFPOP0001,,158,8742,158,"Police Outpost, Belekeri "
,14.7642069995882,74.2117200004426,159,29563054786026270000HMPOLPUOFFPOP0001,,159,9055,159,"Police Outpost, Traffic Aid, Jaddigadde "
,13.3689480003932,77.6839970002084,16,29582055966236210000HMPOLPUOFFPOP0001,,16,30508,16,"Police Outpost, Nandi Hils"
,14.747127000286,75.008303999887,160,29563054826030840000HMPOLPUOFFPOP0001,,160,9320,160,"Police Outpost, Malagi"
,14.2139810004331,74.474019999681,161,29563054876037510000HMPOLPUOFFPOP0001,,161,8987,161,"Police Outpost, Bilagi "
,14.6210509997589,74.8412389998704,162,29563054838030940000HMPOLPUOFFPOP0001,,162,9715,162,"Police Outpost, Amminalli "
,14.6128870002832,74.8401569998361,163,29563054838030940000HMPOLPUOFFPOP0002,,163,9715,163,"Police Outpost, Sri. Marikamba Temple, Sirsi"
,14.9584727998739,74.7176591999565,164,29563054816028890000HMPOLPUOFFPOP0001,,164,9943,164,"Police Outpost, APMC "
,13.7175909998467,75.6355599996872,165,29568055216086520000HMPOLPUOFFPOP0001,,165,12419,165,"Police Outpost, BR Project"
,14.0093299998508,75.4377100004014,166,29568055206083680000HMPOLPUOFFPOP0001,,166,13255,166,"Police Outpost, Ayanur "
,14.4313919998698,74.9550320004153,167,29568055166075260000HMPOLPUOFFPOP0001,,167,13530,167,"Police Outpost, Jade Chandragutti"
,14.5744620001788,75.0510570002812,168,29568055166073760000HMPOLPUOFFPOP0001,,168,13587,168,"Police Outpost, Kamanavalli"
,14.5503500002018,75.2074190000375,169,29568055166074340000HMPOLPUOFFPOP0001,,169,13500,169,"Police Outpost, Kamanavalli"
,13.6698830003021,77.5008409996939,17,29582055956232350000HMPOLPUOFFPOP0001,,17,25670,17,"Police Outpost, Vidurashwatha "
,14.1725779996466,74.8311000003578,170,29568055158031300000HMPOLPUOFFPOP0001,,170,12913,170,"Police Outpost, Linganamakki "
,14.0336540003927,74.8518259997538,171,29568055156073520000HMPOLPUOFFPOP0001,,171,12954,171,"Police Outpost, Bakod "
,14.1429250002226,74.8181309998341,172,29568055156071430000HMPOLPUOFFPOP0001,,172,12915,172,"Police Outpost, Aralagodu "
,13.7394080004189,75.02479900027,173,29568055186080380000HMPOLPUOFFPOP0001,,173,12720,173,"Police Outpost, Mastikatte "
,14.0821850001104,75.2134080002515,174,29568055156072910000HMPOLPUOFFPOP0001,,174,12803,174,"Police Outpost, Anandapura "
,13.8614689998982,75.2059169998103,175,29568055186079970000HMPOLPUOFFPOP0001,,175,12614,175,"Police Outpost, Humcha "
,13.806909000107,75.2471100000548,176,29568055196080820000HMPOLPUOFFPOP0001,,176,13849,176,"Police Outpost, Konandur"
,16.3775119495761,75.207708889134,177,29556054455985510000HMPOLPUOFFPOP0002,,177,629,177,"Police Outpost, Mugalkhod, Bagalkote"
