district,crime_type,latitude,longitude,date,time
Banashankari,murder,12.875176,77.57889,2017-07-05 00:00:00.000,16:00:00
Banashankari,murder,12.898898,77.576405,2017-08-27 00:00:00.000,16:15:00
Banashankari,murder,12.906331,77.59179,2017-08-10 00:00:00.000,08:00:00
Banashankari,murder,12.90903,77.58764,2017-11-25 00:00:00.000,04:00:00
Banashankari,murder,12.906448,77.587569,2018-02-05 00:00:00.000,17:30:00
Banashankari,murder,12.89643,77.578607,2019-05-08 00:00:00.000,18:45:00
Banashankari,murder,12.901612,77.586583,2019-11-26 00:00:00.000,10:30:00
Banashankari,murder,12.8966729945995,77.5607513795297,2015-02-01 00:00:00.000,21:00
Banashankari,murder,12.9050964485764,77.571337000055,2015-04-30 00:00:00.000,6:00
Banashankari,murder,12.9076945341477,77.5719852228203,2015-11-06 00:00:00.000,5:00
Banashankari,murder,12.9008927627643,77.5698813716385,2016-11-01 00:00:00.000,11:00
Banashankari,murder,12.9023385605328,77.5653252772123,2016-07-05 00:00:00.000,13:45
Banashankari,murder,12.9144905944493,77.5721064816148,2016-07-31 00:00:00.000,21:30
Banashankari,murder,12.9105468600267,77.5607455338601,2017-04-26 00:00:00.000,15:00
Banashankari,murder,12.8993985560933,77.572584947246,2017-08-27 00:00:00.000,15:00
Banashankari,murder,12.902333328087,77.56892819667,2018-05-02 00:00:00.000,18:30
Banashankari,murder,12.9143691111693,77.5733106370572,2018-04-30 00:00:00.000,16:30
Banashankari,murder,12.9155359324014,77.5616258170776,2018-08-25 00:00:00.000,1:30
Banashankari,murder,12.9142072407114,77.5618648043771,2019-03-24 00:00:00.000,5:30
Banashankari,murder,12.9061712471247,77.5698458437946,2019-08-06 00:00:00.000,00:30
Banashankari,murder,12.8964515698276,77.5602433120194,2019-12-11 00:00:00.000,7:30
Banashankari,murder,12.937792,77.537268,2016-06-23 00:00:00.000,17:00:00
Banashankari,murder,12.939585,77.544317,2017-08-01 00:00:00.000,08:30:00
Banashankari,murder,12.937792,77.537268,2017-04-21 00:00:00.000,09:10:00
Banashankari,murder,12.93586,77.54388,2018-07-19 00:00:00.000,13:00:00
Banashankari,murder,12.946026,77.544111,2018-08-04 00:00:00.000,03:00:00
Banashankari,murder,12.940271,77.542692,2018-09-07 00:00:00.000,15:00:00
Banashankari,murder,12.94865677,77.56227641,2016-04-15 00:00:00.000,04:00:00
Banashankari,murder,12.94953,77.56316,2017-07-07 00:00:00.000,22:00:00
Banashankari,murder,12.94953,77.56316,2017-07-14 00:00:00.000,17:00:00
Banashankari,murder,12.96053995,77.57161726,,18:30:00
Banashankari,murder,12.9560843652345,77.5756127337875,2016-05-05 00:00:00.000,17:45:00
Banashankari,murder,12.94870298,77.5787416,,
Banashankari,murder,12.948633011769,77.5758665718,,
Banashankari,murder,12.564056,77.333036,2015-03-15 00:00:00.000,22:00:00
Banashankari,murder,12.941281,77.55467,2016-12-20 00:00:00.000,23:45:00
Banashankari,murder,12.94725,77.55428,2017-08-27 00:00:00.000,21:30:00
Banashankari,murder,12.945897,77.567461,2018-11-23 00:00:00.000,07:45:00
Banashankari,murder,12.94885,77.55255,2019-04-12 00:00:00.000,23:00:00
Banashankari,murder,12.928925,77.56106,2015-04-14 00:00:00.000,
Banashankari,murder,12.929754,77.551246,2015-12-05 00:00:00.000,
Banashankari,murder,12.930313,77.554418,2016-09-04 00:00:00.000,01:00:00
Banashankari,murder,12.926431,77.544097,,05:00:00
Banashankari,murder,12.9289,77.554688,2016-06-26 00:00:00.000,04:00:00
Banashankari,murder,12.930848,77.562656,2018-10-03 00:00:00.000,11:30:00
Banashankari,murder,12.920708,77.545062,2018-04-23 00:00:00.000,06:15:00
Banashankari,murder,12.921084,77.540512,2018-09-30 00:00:00.000,01:00:00
Banashankari,murder,12.931413,77.566018,2019-04-29 00:00:00.000,04:00:00
Banashankari,murder,12.920844,77.543006,2019-11-09 00:00:00.000,09:45:00
Banashankari,murder,12.923045,77.541396,2019-09-23 00:00:00.000,04:30:00
Banashankari,murder,12.93336,77.550661,2019-11-13 00:00:00.000,01:00:00
Banashankari,attempted murder,12.971599,77.594563,2016-10-02 00:00:00.000,07:00:00
Banashankari,attempted murder,12.80642,77.52537,2016-09-11 00:00:00.000,13:30:00
Banashankari,attempted murder,12.88605,77.494843,2017-01-15 00:00:00.000,10:15PM
Banashankari,attempted murder,12.921755,77.588346,2017-01-21 00:00:00.000,23:50:00
Banashankari,attempted murder,12.922076,77.5589539,2017-12-06 00:00:00.000,07:35:00
Banashankari,attempted murder,12.835635,77.653354,2018-05-22 00:00:00.000,18:00:00
Banashankari,attempted murder,12.925635,77.583354,2018-08-13 00:00:00.000,16:45:00
Banashankari,attempted murder,12.28784,76.63313,2018-11-30 00:00:00.000,20:00:00
Banashankari,attempted murder,12.79642,77.50537,2018-02-12 00:00:00.000,16:25:00
Banashankari,attempted murder,12.93443,77.592697,2019-04-28 00:00:00.000,19:30:00
Banashankari,attempted murder,12.943773,77.573418,2015-01-02 00:00:00.000,23:15:00
Banashankari,attempted murder,12.941212,77.57344,2015-10-08 00:00:00.000,10:30:00
Banashankari,attempted murder,12.941716,77.573891,2017-03-05 00:00:00.000,11:00:00
Banashankari,attempted murder,12.94452287,77.5788835,2017-09-05 00:00:00.000,13:45AM
Banashankari,attempted murder,12.941946,77.574073,2017-11-09 00:00:00.000,11:30:00
Banashankari,attempted murder,12.935305,77.572075,2017-09-11 00:00:00.000,00:15:00
Banashankari,attempted murder,12.93699,77.566649,2018-12-02 00:00:00.000,21:15AM
Banashankari,attempted murder,12.944247,77.572678,2018-02-14 00:00:00.000,21:15AM
Banashankari,attempted murder,12.938602,77.575583,2018-05-17 00:00:00.000,11:30:00
Banashankari,attempted murder,12.946432,77.578244,2019-07-07 00:00:00.000,19:12AM
Banashankari,attempted murder,12.942962,77.568212,2019-11-19 00:00:00.000,14:30PM
Banashankari,attempted murder,12.9071234,77.5772499,2015-04-29 00:00:00.000,04:05:00
Banashankari,attempted murder,12.9021964,77.5472,2015-11-05 00:00:00.000,23:46:00
Banashankari,attempted murder,12.9047055,77.5868222,2015-02-09 00:00:00.000,22:50:00
Banashankari,attempted murder,12.8996863,77.5719224,2015-10-13 00:00:00.000,23:01:00
Banashankari,attempted murder,12.91655,77.5945793,2015-10-29 00:00:00.000,08:35:00
Banashankari,attempted murder,12.9165477,77.5617482,2015-12-25 00:00:00.000,21:45:00
Banashankari,attempted murder,12.9111818,77.5739301,2016-04-03 00:00:00.000,22:01:00
Banashankari,attempted murder,12.8896959,77.543055,2016-03-31 00:00:00.000,15:35:00
Banashankari,attempted murder,12.9036647,77.5785439,2016-08-29 00:00:00.000,17:01:00
Banashankari,attempted murder,12.9423522,77.5027961,2016-05-09 00:00:00.000,11:30:00
Banashankari,attempted murder,12.909427,77.5706543,2016-10-20 00:00:00.000,13:15:00
Banashankari,attempted murder,12.9093248,77.5591563,2016-10-22 00:00:00.000,22:45:00
Banashankari,attempted murder,12.8879049,77.5774295,2016-09-12 00:00:00.000,00:00:00
Banashankari,attempted murder,12.8879043,77.5621085,2017-08-05 00:00:00.000,22:01:00
Banashankari,attempted murder,12.8879031,77.5621085,2018-03-27 00:00:00.000,18:20:00
Banashankari,attempted murder,12.9105665,77.571023,2018-12-06 00:00:00.000,18:30:00
Banashankari,attempted murder,12.9125802,77.5731949,2018-08-28 00:00:00.000,11:20:00
Banashankari,attempted murder,12.9125802,77.5731949,2019-01-26 00:00:00.000,18:40:00
Banashankari,attempted murder,12.9263748,77.5664358,2019-03-28 00:00:00.000,03:00:00
Banashankari,attempted murder,12.9122435,77.5829634,2019-04-14 00:00:00.000,01:00:00
